km;latitude;longitude;voies_laterales;debouche_sur
0.06;-11.70185;43.25233;1;Avenue de la Place de l'Indépendance
0.29;-11.70317;43.25228;1;Mvouvou-djou
0.46;-11.70380;43.25125;1;
0.58;-11.70468;43.25069;1;
0.71;-11.70530;43.24965;1;Rue Itsambuni شارع إتسمبوني
0.88;-11.70614;43.24830;1;
1.19;-11.70865;43.24716;1;
1.64;-11.71255;43.24607;1;Boulevard de la République Poulaire de China شارع جمهورية الصين الشعبية
1.75;-11.71350;43.24608;1;
1.96;-11.71542;43.24584;1;
2.15;-11.71709;43.24566;2;Rue du Quartier Soifa 1
2.36;-11.71895;43.24545;1;Place Entretenue Par
2.55;-11.71950;43.24688;1;
2.75;-11.71985;43.24872;2;
2.87;-11.72010;43.24979;2;
2.96;-11.72029;43.25058;1;Boulevard Karthala شارع القرطالة
3.12;-11.71883;43.25075;1;
3.30;-11.71725;43.25103;2;
3.46;-11.71588;43.25129;1;
3.63;-11.71438;43.25152;1;
3.81;-11.71297;43.25200;1;
3.92;-11.71226;43.25267;1;
4.13;-11.71038;43.25246;1;
4.30;-11.70892;43.25225;1;
4.48;-11.70870;43.25331;1;
4.64;-11.70734;43.25378;1;
4.73;-11.70750;43.25457;1;
4.87;-11.70751;43.25579;1;
5.12;-11.70534;43.25527;1;
5.22;-11.70452;43.25517;1;
5.31;-11.70380;43.25563;1;
5.42;-11.70290;43.25531;1;Boulevard Karthala شارع القرطالة
5.60;-11.70206;43.25424;2;
5.70;-11.70192;43.25339;1;
5.82;-11.70173;43.25228;1;Mvouvou-djou
6.21;-11.70192;43.25339;1;
6.31;-11.70177;43.25420;1;
6.74;-11.69790;43.25469;1;
6.93;-11.69626;43.25493;1;
7.22;-11.69381;43.25579;2;
7.41;-11.69223;43.25637;1;
7.67;-11.69000;43.25718;1;
7.89;-11.68839;43.25818;2;Rue de l'Union Africaine
8.01;-11.68789;43.25717;2;
8.11;-11.68745;43.25637;2;
8.27;-11.68880;43.25575;1;Route de l'Alliance Française طريق أليانس فرانسيز
8.37;-11.68862;43.25487;1;
8.50;-11.68864;43.25371;1;Rue de la Corniche شارع الكرنيش
8.65;-11.68989;43.25326;1;
8.92;-11.69227;43.25250;1;
9.33;-11.69557;43.25125;1;Rue Ahmed Djoumoi
9.49;-11.69700;43.25151;1;
9.63;-11.69814;43.25189;1;
